month,location_id,location_name,city,region,store_format,product_id,product_name,category,subcategory,vendor_name,units_sold,transactions_count,revenue,discount_amount,cogs,labor_cost,packaging_cost,overhead_allocated,total_cost,total_cost_clean,gross_profit,gross_margin_pct,food_cost_pct,waste_units,waste_cost,waste_pct_revenue,actual_unit_cost,prior_unit_cost,vendor_cost_change_pct,standard_vs_actual_cost_variance,performance_flag,priority_label
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P011,Bottled Water,Beverages,Cold,Northern Supply Co,1663,246,4872.9,99.47,1095.9,421.02,87.71,536.02,2140.65,2140.65,2732.2499999999995,0.5607030720925937,0.22489687865542082,23,14.95,0.0030679882616101296,0.65,0.65,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P012,Sparkling Water,Beverages,Cold,Northern Supply Co,1455,255,4976.41,101.54,1253.75,429.96,89.58,547.41,2320.69,2320.7,2655.71,0.5336598069692811,0.25193864653434905,20,17.0,0.0034161172411437163,0.85,0.85,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P013,Iced Tea,Beverages,Cold,Northern Supply Co,1564,312,6115.55,124.81,1506.7,528.38,110.08,672.71,2817.87,2817.87,3297.6800000000003,0.5392286875260607,0.24637195346289378,22,20.9,0.0034175176394600645,0.95,0.95,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P014,Coffee,Beverages,Hot,Northern Supply Co,1788,252,4888.76,99.76,997.15,422.39,88.0,537.76,2045.3,2045.3,2843.46,0.5816321521203741,0.2039678773349479,25,13.75,0.0028125741496821278,0.55,0.55,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P015,Fresh Juice,Beverages,Cold,Green Harvest Produce,1197,301,5853.64,119.39,1937.6,505.75,105.37,643.9,3192.62,3192.62,2661.0200000000004,0.454592356209128,0.3310077148577637,14,22.4,0.0038266787844828173,1.6,1.6,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P016,French Fries,Sides,Potato,Maple Fresh Foods,1431,353,6926.41,214.28,1895.4,748.05,131.6,761.91,3536.96,3536.9599999999996,3389.4500000000003,0.48935162660021575,0.2736482535685875,27,35.1,0.005067560251270139,1.3,1.3,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P017,Rice Pilaf,Sides,Rice,Maple Fresh Foods,1178,267,5130.56,158.66,1321.1,554.1,97.48,564.36,2537.04,2537.04,2593.5200000000004,0.5055042724380965,0.25749625771845563,23,25.3,0.004931235576623214,1.1,1.1,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P018,Mashed Potatoes,Sides,Potato,Maple Fresh Foods,1126,267,5231.7300000000005,161.81,1435.0,565.03,99.4,575.49,2674.92,2674.92,2556.8100000000004,0.4887121468424403,0.27428785506897335,22,27.5,0.005256387466478583,1.25,1.25,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P019,Mac and Cheese,Sides,Pasta,Maple Fresh Foods,972,288,5647.63,174.65,1829.65,609.94,107.3,621.24,3168.14,3168.13,2479.5,0.43903371856867396,0.32396775284499874,17,31.45,0.005568707581764386,1.85,1.85,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P020,Dinner Roll,Sides,Bakery,Maple Fresh Foods,1345,167,3248.58,100.47,819.6,350.85,61.72,357.34,1589.51,1589.51,1659.07,0.5107062162544865,0.2522948488262564,21,12.6,0.003878617734517851,0.6,0.6,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P021,Chocolate Brownie,Desserts,Baked,Maple Fresh Foods,377,93,1805.9399999999998,75.29,440.45,175.54,28.9,198.65,843.54,843.54,962.3999999999999,0.5329080700355493,0.24388960873561694,6,6.9,0.0038207249410279415,1.15,1.15,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P022,Cheesecake Slice,Desserts,Cake,Maple Fresh Foods,333,99,1914.76,79.91,557.7,186.11,30.64,210.62,985.07,985.07,929.6899999999999,0.4855386575863293,0.2912636570640707,5,8.25,0.004308633980237732,1.65,1.65,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P023,Fruit Parfait,Desserts,Cold,Green Harvest Produce,310,84,1633.7,68.2,441.0,158.8,26.14,179.71,805.64,805.65,828.0500000000001,0.506855603844035,0.2699394013588786,5,7.0,0.004284752402521882,1.4,1.4,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P024,Cookie Pack,Desserts,Baked,Maple Fresh Foods,407,84,1559.05,64.88,392.35,151.54,24.94,171.5,740.33,740.33,818.7199999999999,0.5251403098040472,0.25165966453930283,6,5.7,0.003656072608319169,0.95,0.95,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P025,Takeout Container,Disposables,Packaging,TrueServe Packaging,1217,31,608.5,0.0,221.4,13.14,6.08,66.94,307.56,307.56000000000006,300.93999999999994,0.4945603944124896,0.36384552177485624,13,2.34,0.0038455217748562037,0.18,0.18,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P026,Drink Lid,Disposables,Packaging,TrueServe Packaging,1258,31,251.6,0.0,63.55,5.43,2.52,27.68,99.18,99.17999999999998,152.42000000000002,0.6058028616852147,0.25258346581875996,13,0.65,0.0025834658187599367,0.05,0.05,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P027,Napkin Pack,Disposables,Supplies,TrueServe Packaging,1159,31,173.85,0.0,35.19,3.76,1.74,19.12,59.81,59.81,114.03999999999999,0.6559677883232672,0.20241587575496117,14,0.42,0.0024158757549611735,0.03,0.03,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P028,Cutlery Set,Disposables,Supplies,TrueServe Packaging,1135,31,397.25,0.0,103.23,8.58,3.97,43.7,159.48,159.48000000000002,237.76999999999998,0.5985399622404027,0.2598615481434865,12,1.08,0.002718691000629327,0.09,0.09,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P001,Grilled Chicken Breast,Proteins,Chicken,Prime Protein Partners,634,501,9123.57,380.09,3243.26,1518.16,200.72,1003.59,5965.74,5965.7300000000005,3157.8399999999992,0.3461188986328816,0.35548146175236234,22,105.6,0.011574416593504517,4.8,4.8,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P002,Beef Striploin,Proteins,Beef,Prime Protein Partners,515,515,9388.76,391.09000000000003,3773.82,1562.29,206.55,1032.76,6575.42,6575.420000000001,2813.3399999999992,0.29964979400900643,0.40195084334885545,16,110.4,0.011758741303430912,6.9,6.9,0.0,0.0,Watchlist,Medium Priority
2024-01,LOC002,North York,Toronto,Ontario,Urban,P003,Salmon Fillet,Proteins,Fish,Prime Protein Partners,471,480,8812.720000000001,367.07,3561.43,1466.44,193.88,969.4,6191.15,6191.15,2621.5700000000015,0.29747569422380393,0.4041238119445528,16,113.6,0.012890458337493983,7.1,7.1,0.0,0.0,Watchlist,Medium Priority
2024-01,LOC002,North York,Toronto,Ontario,Urban,P004,Turkey Slices,Proteins,Turkey,Prime Protein Partners,536,394,7198.79,299.85,2387.95,1197.88,158.37,791.87,4536.07,4536.07,2662.7200000000003,0.3698843833477571,0.3317154688496261,16,67.2,0.00933490211549441,4.2,4.2,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P005,Tofu Cubes,Proteins,Plant,Maple Fresh Foods,430,272,4949.57,206.13,1417.69,823.61,108.89,544.45,2894.64,2894.6400000000003,2054.9299999999994,0.41517343930886913,0.28642690173085744,14,43.4,0.008768438470412582,3.1,3.1,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P006,Mixed Greens,Produce,Leafy,Green Harvest Produce,666,283,5161.8099999999995,159.53,1479.49,697.88,103.24,567.8,2848.4,2848.41,2313.3999999999996,0.4481761242664879,0.2866223282143279,18,37.8,0.007323012664162377,2.1,2.1,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P007,Cherry Tomatoes,Produce,Tomatoes,Green Harvest Produce,614,230,4163.23,128.63,1169.87,562.87,83.26,457.96,2273.96,2273.9599999999996,1889.27,0.4537990934923125,0.28100056926953354,17,30.6,0.007350062331410949,1.8,1.8,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P008,Avocado Slices,Produce,Avocado,Green Harvest Produce,505,244,4403.75,136.2,1547.27,595.39,88.08,484.41,2715.14,2715.1499999999996,1688.6000000000004,0.38344592676696004,0.3513528242974737,13,37.7,0.00856088560885609,2.9,2.9,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P009,Roasted Vegetables,Produce,Hot Veg,Green Harvest Produce,581,232,4221.2,130.49,1357.33,570.71,84.42,464.33,2476.8,2476.79,1744.4099999999999,0.4132497867904861,0.321550743864304,18,39.6,0.009381218610821569,2.2,2.2,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P010,Fruit Cup,Produce,Fruit,Green Harvest Produce,492,155,2858.61,88.47,1018.31,386.48,57.17,314.45,1776.41,1776.41,1082.2,0.37857560142866636,0.3562255781656119,15,29.25,0.01023224574181158,1.95,1.95,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P011,Bottled Water,Beverages,Cold,Northern Supply Co,1515,242,4439.26,90.59,996.45,369.35,79.91,488.32,1934.02,1934.0300000000002,2505.23,0.5643350468321296,0.22446308619004068,18,11.7,0.002635574397534724,0.65,0.65,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P012,Sparkling Water,Beverages,Cold,Northern Supply Co,1309,245,4477.09,91.32,1127.95,372.49,80.59,492.48,2073.51,2073.51,2403.58,0.5368621135603706,0.2519382009296217,18,15.3,0.0034173983547348837,0.85,0.85,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P013,Iced Tea,Beverages,Cold,Northern Supply Co,1432,306,5599.43,114.25,1379.4,465.87,100.79,615.94,2562.0,2562.0,3037.4300000000003,0.5424534282953801,0.24634650312621106,20,19.0,0.003393202522399601,0.95,0.95,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P014,Coffee,Beverages,Hot,Northern Supply Co,1642,245,4489.59,91.59,914.1,373.53,80.81,493.85,1862.3,1862.29,2627.3,0.5851982029539446,0.2036043380353217,20,11.0,0.0024501123710628362,0.55,0.55,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P015,Fresh Juice,Beverages,Cold,Green Harvest Produce,1107,296,5413.54,110.39,1796.8,450.41,97.44,595.49,2940.14,2940.1400000000003,2473.3999999999996,0.4568914240958781,0.3319085108819737,16,25.6,0.00472888350321601,1.6,1.6,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P016,French Fries,Sides,Potato,Maple Fresh Foods,1286,340,6224.55,192.59,1700.4,647.35,118.27,684.7,3150.72,3150.7200000000003,3073.83,0.4938236499024026,0.273176374195725,22,28.6,0.004594709657726261,1.3,1.3,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P017,Rice Pilaf,Sides,Rice,Maple Fresh Foods,1081,258,4708.08,145.61,1208.9,489.64,89.45,517.89,2305.88,2305.88,2402.2,0.510229222952881,0.2567713377852543,18,19.8,0.0042055360146811445,1.1,1.1,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P018,Mashed Potatoes,Sides,Potato,Maple Fresh Foods,1043,268,4846.08,149.89,1328.75,503.99,92.08,533.07,2457.89,2457.89,2388.19,0.4928086205758056,0.27419068608029584,20,25.0,0.005158808769149498,1.25,1.25,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P019,Mac and Cheese,Sides,Pasta,Maple Fresh Foods,895,286,5200.26,160.79,1685.35,540.83,98.8,572.03,2897.01,2897.01,2303.25,0.4429105467803533,0.3240895647525316,16,29.6,0.005692023091153135,1.85,1.85,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P020,Dinner Roll,Sides,Bakery,Maple Fresh Foods,1240,163,2994.98,92.62,756.6,311.48,56.9,329.45,1454.43,1454.43,1540.55,0.5143773915017796,0.25262272202151603,21,12.6,0.004207039779898363,0.6,0.6,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P021,Chocolate Brownie,Desserts,Baked,Maple Fresh Foods,349,93,1671.73,69.78,407.1,156.47,26.75,183.89,774.21,774.21,897.52,0.5368809556567149,0.24352018567591657,5,5.75,0.0034395506451400646,1.15,1.15,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P022,Cheesecake Slice,Desserts,Cake,Maple Fresh Foods,299,96,1719.25,71.76,501.6,160.92,27.51,189.12,879.15,879.15,840.1,0.48864330376617715,0.2917551257815908,5,8.25,0.004798604042460375,1.65,1.65,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P023,Fruit Parfait,Desserts,Cold,Green Harvest Produce,281,86,1480.87,61.82,400.4,138.61,23.69,162.9,725.6,725.6,755.2699999999999,0.5100177598303699,0.27038160000540223,5,7.0,0.004726951049045494,1.4,1.4,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P024,Cookie Pack,Desserts,Baked,Maple Fresh Foods,373,81,1428.67,59.6,360.05,133.72,22.86,157.15,673.79,673.78,754.8900000000001,0.5283865413286484,0.25201761078485585,6,5.7,0.003989724708995079,0.95,0.95,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P025,Takeout Container,Disposables,Packaging,TrueServe Packaging,1117,31,558.5,0.0,203.58,11.62,5.58,61.44,282.22,282.22,276.28,0.4946821844225604,0.3645120859444942,14,2.52,0.004512085944494181,0.18,0.18,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P026,Drink Lid,Disposables,Packaging,TrueServe Packaging,1158,31,231.6,0.0,58.5,4.82,2.32,25.48,91.11,91.12,140.48,0.6065630397236614,0.25259067357512954,12,0.6,0.0025906735751295338,0.05,0.05,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P027,Napkin Pack,Disposables,Supplies,TrueServe Packaging,1057,31,158.55,0.0,32.04,3.3,1.59,17.44,54.36,54.370000000000005,104.18,0.6570797855566067,0.20208136234626298,11,0.33,0.0020813623462630085,0.03,0.03,0.0,0.0,Healthy,Monitor
2024-01,LOC002,North York,Toronto,Ontario,Urban,P028,Cutlery Set,Disposables,Supplies,TrueServe Packaging,1045,31,365.75,0.0,95.04,7.61,3.66,40.23,146.54,146.54,219.21,0.5993438140806562,0.2598496240601504,11,0.99,0.002706766917293233,0.09,0.09,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P001,Grilled Chicken Breast,Proteins,Chicken,Prime Protein Partners,566,469,8145.05,339.29,2882.35,1303.21,179.19,895.96,5260.71,5260.709999999999,2884.340000000001,0.3541218285952819,0.35387750842536264,17,81.6,0.01001835470623262,4.8,4.8,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P002,Beef Striploin,Proteins,Beef,Prime Protein Partners,471,495,8586.64,357.65000000000003,3454.0,1373.86,188.91,944.53,5961.3,5961.299999999999,2625.34,0.3057470675374769,0.40225280202733554,15,103.5,0.012053608862139324,6.9,6.9,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P003,Salmon Fillet,Proteins,Fish,Prime Protein Partners,427,459,7989.42,332.81,3225.03,1278.31,175.77,878.84,5557.94,5557.950000000001,2431.4699999999993,0.3043362346703515,0.4036625937802744,14,99.4,0.012441453822680495,7.1,7.1,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P004,Turkey Slices,Proteins,Turkey,Prime Protein Partners,497,387,6675.02,278.01,2210.59,1068.0,146.85,734.25,4159.69,4159.6900000000005,2515.33,0.3768273353488079,0.33117353955493767,14,58.8,0.0088089623701502,4.2,4.2,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P005,Tofu Cubes,Proteins,Plant,Maple Fresh Foods,399,266,4592.7,191.31,1309.13,734.83,101.04,505.2,2650.2,2650.2,1942.5,0.42295381801554643,0.2850458336055044,11,34.1,0.007424826354867508,3.1,3.1,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P006,Mixed Greens,Produce,Leafy,Green Harvest Produce,617,278,4782.0599999999995,147.76999999999998,1371.34,621.67,95.64,526.03,2614.68,2614.6799999999994,2167.38,0.45323145255392033,0.2867676273405185,17,35.7,0.007465401939749816,2.1,2.1,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P007,Cherry Tomatoes,Produce,Tomatoes,Green Harvest Produce,566,221,3837.75,118.59,1077.17,498.91,76.75,422.15,2074.99,2074.98,1762.77,0.4593238225522767,0.2806774802944434,15,27.0,0.0070353722884502635,1.8,1.8,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P008,Avocado Slices,Produce,Avocado,Green Harvest Produce,461,231,4019.96,124.42999999999999,1412.85,522.59,80.4,442.2,2458.04,2458.04,1561.92,0.388541179514224,0.3514587209822983,12,34.8,0.008656802555249305,2.9,2.9,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P009,Roasted Vegetables,Produce,Hot Veg,Green Harvest Produce,527,222,3828.7799999999997,118.45,1225.91,497.74,76.58,421.17,2221.39,2221.4,1607.3799999999997,0.4198151891725301,0.3201829303328998,14,30.8,0.008044337883085475,2.2,2.2,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P010,Fruit Cup,Produce,Fruit,Green Harvest Produce,445,151,2585.46,80.09,915.88,336.11,51.71,284.4,1588.1,1588.1,997.3600000000001,0.38575727336721516,0.35424257192143754,11,21.45,0.008296395999164558,1.95,1.95,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P011,Bottled Water,Beverages,Cold,Northern Supply Co,1387,235,4064.2200000000003,82.91,913.9,325.14,73.16,447.06,1759.26,1759.26,2304.96,0.5671346531437766,0.2248647957049569,19,12.35,0.0030387134554723905,0.65,0.65,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P012,Sparkling Water,Beverages,Cold,Northern Supply Co,1237,244,4230.85,86.28,1064.2,338.47,76.16,465.39,1944.22,1944.2200000000003,2286.63,0.5404658638335086,0.2515333798172944,15,12.75,0.0030135788316768496,0.85,0.85,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P013,Iced Tea,Beverages,Cold,Northern Supply Co,1296,292,5067.67,103.37,1248.3,405.41,91.22,557.44,2302.38,2302.37,2765.3,0.5456748367592996,0.24632622092598766,18,17.1,0.003374331793506681,0.95,0.95,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P014,Coffee,Beverages,Hot,Northern Supply Co,1507,234,4120.45,84.08,839.3,329.64,74.17,453.25,1696.35,1696.3600000000001,2424.0899999999997,0.5883071023795944,0.20369134439199602,19,10.45,0.0025361307624167263,0.55,0.55,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P015,Fresh Juice,Beverages,Cold,Green Harvest Produce,1006,282,4919.65,100.29,1630.4,393.57,88.55,541.16,2653.69,2653.68,2265.97,0.4605957740896202,0.33140568942912607,13,20.8,0.004227943044728792,1.6,1.6,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P016,French Fries,Sides,Potato,Maple Fresh Foods,1188,328,5750.2300000000005,177.89000000000001,1574.3,575.02,109.25,632.53,2891.1,2891.0999999999995,2859.130000000001,0.4972201111955523,0.2737803531337007,23,29.9,0.005199792008319667,1.3,1.3,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P017,Rice Pilaf,Sides,Rice,Maple Fresh Foods,973,245,4237.66,131.11,1087.9,423.77,80.52,466.14,2058.32,2058.33,2179.33,0.5142767470726769,0.256721870088681,16,17.6,0.004153235512051463,1.1,1.1,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P018,Mashed Potatoes,Sides,Potato,Maple Fresh Foods,932,251,4330.37,133.91,1185.0,433.04,82.28,476.34,2176.65,2176.66,2153.71,0.4973501109604953,0.2736486720534273,16,20.0,0.004618542988243499,1.25,1.25,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P019,Mac and Cheese,Sides,Pasta,Maple Fresh Foods,816,273,4741.2699999999995,146.57,1533.65,474.13,90.08,521.54,2619.4,2619.4,2121.8699999999994,0.4475319903738871,0.32346818468469424,13,24.05,0.005072480580097738,1.85,1.85,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P020,Dinner Roll,Sides,Bakery,Maple Fresh Foods,1101,152,2659.26,82.23,673.2,265.93,50.53,292.52,1282.17,1282.18,1377.0800000000002,0.5178433097929499,0.2531531328264254,21,12.6,0.004738160240066785,0.6,0.6,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P021,Chocolate Brownie,Desserts,Baked,Maple Fresh Foods,315,89,1508.85,63.0,368.0,135.8,24.14,165.97,693.91,693.9100000000001,814.9399999999998,0.5401067037810252,0.24389435662922093,5,5.75,0.003810849322331577,1.15,1.15,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P022,Cheesecake Slice,Desserts,Cake,Maple Fresh Foods,274,93,1575.5,65.76,458.7,141.79,25.21,173.31,799.01,799.01,776.49,0.49285306251983496,0.29114566804189146,4,6.6,0.004189146302761028,1.65,1.65,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P023,Fruit Parfait,Desserts,Cold,Green Harvest Produce,258,74,1359.6599999999999,56.76,366.8,122.37,21.75,149.56,660.49,660.48,699.1799999999998,0.5142314990512333,0.2697733256843623,4,5.6,0.004118676728005531,1.4,1.4,0.0,0.0,Healthy,Monitor
2024-01,LOC003,Scarborough,Toronto,Ontario,Urban,P024,Cookie Pack,Desserts,Baked,Maple Fresh Foods,348,73,1332.8700000000001,55.65,336.3,119.96,21.33,146.62,624.2,624.21,708.6600000000001,0.5316797587161539,0.2523126786558329,6,5.7,0.004276486078912422,0.95,0.95,0.0,0.0,Healthy,Monitor
