month,location_id,product_id,waste_units,waste_cost,waste_reason,recorded_by
2024-01,LOC002,P015,16,25.6,Damaged Handling,Inventory Coordinator
2024-01,LOC002,P016,22,28.6,Overproduction,Operations Supervisor
2024-01,LOC002,P017,18,19.8,Spoilage,Shift Manager
2024-01,LOC002,P018,20,25.0,Expired Inventory,Operations Supervisor
2024-01,LOC002,P019,16,29.6,Expired Inventory,Operations Supervisor
2024-01,LOC002,P020,21,12.6,Spoilage,Kitchen Lead
2024-01,LOC002,P021,5,5.75,Overproduction,Kitchen Lead
2024-01,LOC002,P022,5,8.25,Overproduction,Shift Manager
2024-01,LOC002,P023,5,7.0,Expired Inventory,Inventory Coordinator
2024-01,LOC002,P024,6,5.7,Overproduction,Inventory Coordinator
2024-01,LOC002,P025,14,2.52,Spoilage,Operations Supervisor
2024-01,LOC002,P026,12,0.6,Prep Loss,Shift Manager
2024-01,LOC002,P027,11,0.33,Damaged Handling,Inventory Coordinator
2024-01,LOC002,P028,11,0.99,Expired Inventory,Inventory Coordinator
2024-01,LOC003,P001,17,81.6,Damaged Handling,Shift Manager
2024-01,LOC003,P002,15,103.5,Expired Inventory,Inventory Coordinator
2024-01,LOC003,P003,14,99.4,Spoilage,Operations Supervisor
2024-01,LOC003,P004,14,58.8,Expired Inventory,Shift Manager
2024-01,LOC003,P005,11,34.1,Overproduction,Kitchen Lead
2024-01,LOC003,P006,17,35.7,Expired Inventory,Operations Supervisor
2024-01,LOC003,P007,15,27.0,Expired Inventory,Inventory Coordinator
2024-01,LOC003,P008,12,34.8,Overproduction,Operations Supervisor
2024-01,LOC003,P009,14,30.8,Damaged Handling,Inventory Coordinator
2024-01,LOC003,P010,11,21.45,Spoilage,Inventory Coordinator
2024-01,LOC003,P011,19,12.35,Prep Loss,Shift Manager
2024-01,LOC003,P012,15,12.75,Spoilage,Inventory Coordinator
2024-01,LOC003,P013,18,17.1,Overproduction,Operations Supervisor
2024-01,LOC003,P014,19,10.45,Expired Inventory,Inventory Coordinator
2024-01,LOC003,P015,13,20.8,Spoilage,Shift Manager
2024-01,LOC003,P016,23,29.9,Spoilage,Inventory Coordinator
2024-01,LOC003,P017,16,17.6,Spoilage,Inventory Coordinator
2024-01,LOC003,P018,16,20.0,Spoilage,Kitchen Lead
2024-01,LOC003,P019,13,24.05,Overproduction,Kitchen Lead
2024-01,LOC003,P020,21,12.6,Expired Inventory,Shift Manager
2024-01,LOC003,P021,5,5.75,Expired Inventory,Operations Supervisor
2024-01,LOC003,P022,4,6.6,Prep Loss,Inventory Coordinator
2024-01,LOC003,P023,4,5.6,Prep Loss,Inventory Coordinator
2024-01,LOC003,P024,6,5.7,Overproduction,Operations Supervisor
2024-01,LOC003,P025,11,1.98,Spoilage,Operations Supervisor
2024-01,LOC003,P026,12,0.6,Overproduction,Operations Supervisor
2024-01,LOC003,P027,11,0.33,Overproduction,Inventory Coordinator
2024-01,LOC003,P028,9,0.81,Expired Inventory,Inventory Coordinator
2024-01,LOC004,P001,21,100.8,Overproduction,Kitchen Lead
2024-01,LOC004,P002,17,117.3,Prep Loss,Kitchen Lead
2024-01,LOC004,P003,14,99.4,Spoilage,Shift Manager
2024-01,LOC004,P004,17,71.4,Overproduction,Kitchen Lead
2024-01,LOC004,P005,14,43.4,Overproduction,Operations Supervisor
2024-01,LOC004,P006,21,44.1,Prep Loss,Inventory Coordinator
2024-01,LOC004,P007,18,32.4,Overproduction,Operations Supervisor
2024-01,LOC004,P008,15,43.5,Damaged Handling,Shift Manager
2024-01,LOC004,P009,15,33.0,Prep Loss,Inventory Coordinator
2024-01,LOC004,P010,14,27.3,Overproduction,Operations Supervisor
2024-01,LOC004,P011,18,11.7,Expired Inventory,Operations Supervisor
2024-01,LOC004,P012,18,15.3,Prep Loss,Operations Supervisor
2024-01,LOC004,P013,20,19.0,Spoilage,Shift Manager
2024-01,LOC004,P014,20,11.0,Spoilage,Kitchen Lead
2024-01,LOC004,P015,16,25.6,Spoilage,Operations Supervisor
2024-01,LOC004,P016,22,28.6,Expired Inventory,Operations Supervisor
2024-01,LOC004,P017,20,22.0,Spoilage,Shift Manager
2024-01,LOC004,P018,18,22.5,Spoilage,Kitchen Lead
2024-01,LOC004,P019,16,29.6,Spoilage,Inventory Coordinator
2024-01,LOC004,P020,21,12.6,Expired Inventory,Inventory Coordinator
2024-01,LOC004,P021,5,5.75,Spoilage,Inventory Coordinator
2024-01,LOC004,P022,5,8.25,Prep Loss,Inventory Coordinator
2024-01,LOC004,P023,4,5.6,Overproduction,Inventory Coordinator
2024-01,LOC004,P024,6,5.7,Overproduction,Shift Manager
2024-01,LOC004,P025,13,2.34,Overproduction,Inventory Coordinator
2024-01,LOC004,P026,13,0.65,Expired Inventory,Shift Manager
2024-01,LOC004,P027,13,0.39,Spoilage,Shift Manager
2024-01,LOC004,P028,12,1.08,Damaged Handling,Inventory Coordinator
2024-01,LOC005,P001,17,81.6,Spoilage,Shift Manager
2024-01,LOC005,P002,13,89.7,Spoilage,Kitchen Lead
2024-01,LOC005,P003,13,92.3,Overproduction,Kitchen Lead
2024-01,LOC005,P004,14,58.8,Overproduction,Shift Manager
2024-01,LOC005,P005,12,37.2,Overproduction,Shift Manager
2024-01,LOC005,P006,16,33.6,Spoilage,Shift Manager
2024-01,LOC005,P007,16,28.8,Expired Inventory,Operations Supervisor
2024-01,LOC005,P008,12,34.8,Spoilage,Operations Supervisor
2024-01,LOC005,P009,16,35.2,Expired Inventory,Operations Supervisor
2024-01,LOC005,P010,12,23.4,Overproduction,Operations Supervisor
2024-01,LOC005,P011,17,11.05,Overproduction,Operations Supervisor
2024-01,LOC005,P012,14,11.9,Expired Inventory,Kitchen Lead
2024-01,LOC005,P013,17,16.15,Overproduction,Kitchen Lead
2024-01,LOC005,P014,18,9.9,Damaged Handling,Operations Supervisor
2024-01,LOC005,P015,14,22.4,Overproduction,Inventory Coordinator
2024-01,LOC005,P016,19,24.7,Prep Loss,Shift Manager
2024-01,LOC005,P017,17,18.7,Prep Loss,Shift Manager
2024-01,LOC005,P018,18,22.5,Spoilage,Kitchen Lead
2024-01,LOC005,P019,13,24.05,Expired Inventory,Inventory Coordinator
2024-01,LOC005,P020,17,10.2,Prep Loss,Inventory Coordinator
2024-01,LOC005,P021,5,5.75,Overproduction,Kitchen Lead
2024-01,LOC005,P022,4,6.6,Spoilage,Shift Manager
2024-01,LOC005,P023,4,5.6,Overproduction,Operations Supervisor
2024-01,LOC005,P024,5,4.75,Spoilage,Inventory Coordinator
2024-01,LOC005,P025,12,2.16,Spoilage,Inventory Coordinator
2024-01,LOC005,P026,11,0.55,Damaged Handling,Inventory Coordinator
2024-01,LOC005,P027,11,0.33,Overproduction,Kitchen Lead
2024-01,LOC005,P028,10,0.9,Overproduction,Inventory Coordinator
2024-01,LOC006,P001,19,91.2,Overproduction,Kitchen Lead
2024-01,LOC006,P002,14,96.6,Spoilage,Operations Supervisor
2024-01,LOC006,P003,14,99.4,Overproduction,Kitchen Lead
2024-01,LOC006,P004,16,67.2,Overproduction,Operations Supervisor
2024-01,LOC006,P005,14,43.4,Expired Inventory,Operations Supervisor
2024-01,LOC006,P006,21,44.1,Spoilage,Shift Manager
2024-01,LOC006,P007,16,28.8,Prep Loss,Operations Supervisor
2024-01,LOC006,P008,14,40.6,Spoilage,Shift Manager
2024-01,LOC006,P009,18,39.6,Overproduction,Inventory Coordinator
2024-01,LOC006,P010,14,27.3,Spoilage,Inventory Coordinator
2024-01,LOC006,P011,20,13.0,Expired Inventory,Operations Supervisor
2024-01,LOC006,P012,19,16.15,Spoilage,Inventory Coordinator
2024-01,LOC006,P013,19,18.05,Spoilage,Inventory Coordinator
2024-01,LOC006,P014,22,12.1,Spoilage,Kitchen Lead
2024-01,LOC006,P015,14,22.4,Expired Inventory,Inventory Coordinator
2024-01,LOC006,P016,24,31.2,Spoilage,Inventory Coordinator
2024-01,LOC006,P017,21,23.1,Spoilage,Operations Supervisor
2024-01,LOC006,P018,20,25.0,Overproduction,Operations Supervisor
2024-01,LOC006,P019,16,29.6,Overproduction,Inventory Coordinator
2024-01,LOC006,P020,24,14.4,Spoilage,Kitchen Lead
2024-01,LOC006,P021,6,6.9,Overproduction,Shift Manager
2024-01,LOC006,P022,5,8.25,Prep Loss,Operations Supervisor
2024-01,LOC006,P023,5,7.0,Expired Inventory,Inventory Coordinator
2024-01,LOC006,P024,6,5.7,Spoilage,Inventory Coordinator
2024-01,LOC006,P025,12,2.16,Overproduction,Shift Manager
2024-01,LOC006,P026,14,0.7,Spoilage,Kitchen Lead
2024-01,LOC006,P027,12,0.36,Overproduction,Operations Supervisor
2024-01,LOC006,P028,12,1.08,Spoilage,Inventory Coordinator
2024-01,LOC007,P001,17,81.6,Overproduction,Operations Supervisor
2024-01,LOC007,P002,14,96.6,Overproduction,Kitchen Lead
2024-01,LOC007,P003,13,92.3,Prep Loss,Shift Manager
2024-01,LOC007,P004,16,67.2,Spoilage,Shift Manager
2024-01,LOC007,P005,12,37.2,Spoilage,Kitchen Lead
2024-01,LOC007,P006,19,39.9,Spoilage,Operations Supervisor
2024-01,LOC007,P007,17,30.6,Overproduction,Inventory Coordinator
2024-01,LOC007,P008,15,43.5,Prep Loss,Shift Manager
2024-01,LOC007,P009,15,33.0,Expired Inventory,Inventory Coordinator
2024-01,LOC007,P010,12,23.4,Overproduction,Kitchen Lead
2024-01,LOC007,P011,20,13.0,Spoilage,Operations Supervisor
2024-01,LOC007,P012,18,15.3,Spoilage,Operations Supervisor
2024-01,LOC007,P013,17,16.15,Expired Inventory,Shift Manager
2024-01,LOC007,P014,20,11.0,Spoilage,Kitchen Lead
2024-01,LOC007,P015,15,24.0,Expired Inventory,Inventory Coordinator
2024-01,LOC007,P016,21,27.3,Overproduction,Operations Supervisor
2024-01,LOC007,P017,17,18.7,Overproduction,Kitchen Lead
2024-01,LOC007,P018,19,23.75,Spoilage,Shift Manager
2024-01,LOC007,P019,16,29.6,Expired Inventory,Inventory Coordinator
2024-01,LOC007,P020,19,11.4,Overproduction,Operations Supervisor
2024-01,LOC007,P021,5,5.75,Overproduction,Shift Manager
2024-01,LOC007,P022,5,8.25,Overproduction,Shift Manager
2024-01,LOC007,P023,4,5.6,Overproduction,Kitchen Lead
2024-01,LOC007,P024,5,4.75,Expired Inventory,Shift Manager
2024-01,LOC007,P025,11,1.98,Spoilage,Shift Manager
2024-01,LOC007,P026,13,0.65,Overproduction,Inventory Coordinator
2024-01,LOC007,P027,12,0.36,Spoilage,Kitchen Lead
2024-01,LOC007,P028,12,1.08,Expired Inventory,Operations Supervisor
2024-01,LOC008,P001,19,91.2,Prep Loss,Shift Manager
2024-01,LOC008,P002,16,110.4,Overproduction,Inventory Coordinator
2024-01,LOC008,P003,15,106.5,Spoilage,Inventory Coordinator
2024-01,LOC008,P004,18,75.6,Spoilage,Operations Supervisor
2024-01,LOC008,P005,14,43.4,Expired Inventory,Shift Manager
2024-01,LOC008,P006,17,35.7,Prep Loss,Operations Supervisor
2024-01,LOC008,P007,18,32.4,Spoilage,Shift Manager
2024-01,LOC008,P008,15,43.5,Overproduction,Inventory Coordinator
2024-01,LOC008,P009,15,33.0,Prep Loss,Kitchen Lead
2024-01,LOC008,P010,13,25.35,Damaged Handling,Operations Supervisor
2024-01,LOC008,P011,21,13.65,Spoilage,Kitchen Lead
2024-01,LOC008,P012,20,17.0,Spoilage,Operations Supervisor
2024-01,LOC008,P013,20,19.0,Damaged Handling,Operations Supervisor
2024-01,LOC008,P014,21,11.55,Overproduction,Kitchen Lead
2024-01,LOC008,P015,16,25.6,Prep Loss,Kitchen Lead
2024-01,LOC008,P016,24,31.2,Expired Inventory,Operations Supervisor
2024-01,LOC008,P017,22,24.2,Overproduction,Kitchen Lead
2024-01,LOC008,P018,17,21.25,Expired Inventory,Inventory Coordinator
2024-01,LOC008,P019,17,31.45,Spoilage,Inventory Coordinator
2024-01,LOC008,P020,20,12.0,Prep Loss,Kitchen Lead
2024-01,LOC008,P021,6,6.9,Expired Inventory,Inventory Coordinator
2024-01,LOC008,P022,5,8.25,Prep Loss,Shift Manager
2024-01,LOC008,P023,5,7.0,Prep Loss,Inventory Coordinator
2024-01,LOC008,P024,6,5.7,Spoilage,Kitchen Lead
2024-01,LOC008,P025,14,2.52,Overproduction,Kitchen Lead
2024-01,LOC008,P026,13,0.65,Prep Loss,Inventory Coordinator
2024-01,LOC008,P027,11,0.33,Prep Loss,Kitchen Lead
2024-01,LOC008,P028,11,0.99,Expired Inventory,Kitchen Lead
2024-02,LOC001,P001,20,99.6,Prep Loss,Shift Manager
2024-02,LOC001,P002,15,107.1,Damaged Handling,Shift Manager
2024-02,LOC001,P003,15,110.25,Overproduction,Shift Manager
2024-02,LOC001,P004,16,69.6,Spoilage,Kitchen Lead
2024-02,LOC001,P005,15,46.95,Overproduction,Kitchen Lead
2024-02,LOC001,P006,20,42.8,Spoilage,Shift Manager
2024-02,LOC001,P007,16,29.28,Damaged Handling,Inventory Coordinator
2024-02,LOC001,P008,15,44.4,Spoilage,Operations Supervisor
2024-02,LOC001,P009,15,33.6,Spoilage,Shift Manager
2024-02,LOC001,P010,15,29.85,Spoilage,Shift Manager
2024-02,LOC001,P011,20,13.2,Prep Loss,Kitchen Lead
2024-02,LOC001,P012,19,16.34,Prep Loss,Operations Supervisor
2024-02,LOC001,P013,20,19.2,Spoilage,Inventory Coordinator
2024-02,LOC001,P014,21,11.55,Damaged Handling,Shift Manager
2024-02,LOC001,P015,14,22.82,Spoilage,Shift Manager
2024-02,LOC001,P016,25,32.75,Overproduction,Shift Manager
2024-02,LOC001,P017,21,23.31,Damaged Handling,Shift Manager
2024-02,LOC001,P018,17,21.42,Overproduction,Inventory Coordinator
2024-02,LOC001,P019,17,31.62,Expired Inventory,Kitchen Lead
2024-02,LOC001,P020,22,13.2,Spoilage,Operations Supervisor
2024-02,LOC001,P021,6,6.96,Spoilage,Operations Supervisor
2024-02,LOC001,P022,5,8.3,Damaged Handling,Kitchen Lead
2024-02,LOC001,P023,5,7.1,Overproduction,Operations Supervisor
2024-02,LOC001,P024,6,5.76,Overproduction,Kitchen Lead
2024-02,LOC001,P025,12,2.16,Overproduction,Inventory Coordinator
2024-02,LOC001,P026,13,0.65,Expired Inventory,Operations Supervisor
2024-02,LOC001,P027,13,0.39,Spoilage,Kitchen Lead
2024-02,LOC001,P028,13,1.17,Overproduction,Operations Supervisor
2024-02,LOC002,P001,18,89.64,Spoilage,Shift Manager
2024-02,LOC002,P002,15,107.1,Spoilage,Shift Manager
2024-02,LOC002,P003,15,110.25,Prep Loss,Kitchen Lead
2024-02,LOC002,P004,17,73.95,Expired Inventory,Shift Manager
2024-02,LOC002,P005,13,40.69,Spoilage,Kitchen Lead
2024-02,LOC002,P006,18,38.52,Expired Inventory,Shift Manager
2024-02,LOC002,P007,16,29.28,Spoilage,Shift Manager
2024-02,LOC002,P008,14,41.44,Expired Inventory,Inventory Coordinator
2024-02,LOC002,P009,17,38.08,Prep Loss,Shift Manager
2024-02,LOC002,P010,13,25.87,Overproduction,Shift Manager
2024-02,LOC002,P011,17,11.22,Expired Inventory,Operations Supervisor
2024-02,LOC002,P012,17,14.62,Prep Loss,Kitchen Lead
2024-02,LOC002,P013,17,16.32,Overproduction,Shift Manager
2024-02,LOC002,P014,21,11.55,Expired Inventory,Shift Manager
2024-02,LOC002,P015,14,22.82,Expired Inventory,Operations Supervisor
2024-02,LOC002,P016,24,31.44,Prep Loss,Kitchen Lead
2024-02,LOC002,P017,17,18.87,Prep Loss,Shift Manager
2024-02,LOC002,P018,18,22.68,Prep Loss,Shift Manager
2024-02,LOC002,P019,14,26.04,Spoilage,Shift Manager
2024-02,LOC002,P020,19,11.4,Overproduction,Operations Supervisor
2024-02,LOC002,P021,5,5.8,Expired Inventory,Kitchen Lead
2024-02,LOC002,P022,5,8.3,Spoilage,Operations Supervisor
2024-02,LOC002,P023,4,5.68,Spoilage,Shift Manager
2024-02,LOC002,P024,5,4.8,Spoilage,Kitchen Lead
2024-02,LOC002,P025,13,2.34,Prep Loss,Inventory Coordinator
2024-02,LOC002,P026,12,0.6,Spoilage,Shift Manager
2024-02,LOC002,P027,12,0.36,Overproduction,Shift Manager
2024-02,LOC002,P028,11,0.99,Overproduction,Shift Manager
2024-02,LOC003,P001,16,79.68,Overproduction,Operations Supervisor
2024-02,LOC003,P002,13,92.82,Expired Inventory,Inventory Coordinator
2024-02,LOC003,P003,14,102.9,Prep Loss,Kitchen Lead
2024-02,LOC003,P004,16,69.6,Prep Loss,Kitchen Lead
2024-02,LOC003,P005,10,31.3,Prep Loss,Kitchen Lead
2024-02,LOC003,P006,16,34.24,Expired Inventory,Operations Supervisor
2024-02,LOC003,P007,15,27.45,Spoilage,Shift Manager
2024-02,LOC003,P008,12,35.52,Overproduction,Kitchen Lead
2024-02,LOC003,P009,13,29.12,Spoilage,Inventory Coordinator
2024-02,LOC003,P010,11,21.89,Overproduction,Kitchen Lead
2024-02,LOC003,P011,18,11.88,Prep Loss,Shift Manager
2024-02,LOC003,P012,17,14.62,Damaged Handling,Kitchen Lead
2024-02,LOC003,P013,15,14.4,Overproduction,Kitchen Lead
2024-02,LOC003,P014,19,10.45,Damaged Handling,Inventory Coordinator
2024-02,LOC003,P015,13,21.19,Spoilage,Inventory Coordinator
2024-02,LOC003,P016,21,27.51,Spoilage,Kitchen Lead
2024-02,LOC003,P017,15,16.65,Prep Loss,Shift Manager
2024-02,LOC003,P018,17,21.42,Damaged Handling,Operations Supervisor
2024-02,LOC003,P019,12,22.32,Spoilage,Shift Manager
2024-02,LOC003,P020,19,11.4,Overproduction,Operations Supervisor
2024-02,LOC003,P021,5,5.8,Overproduction,Shift Manager
2024-02,LOC003,P022,4,6.64,Prep Loss,Operations Supervisor
2024-02,LOC003,P023,4,5.68,Overproduction,Operations Supervisor
2024-02,LOC003,P024,5,4.8,Spoilage,Inventory Coordinator
2024-02,LOC003,P025,11,1.98,Overproduction,Inventory Coordinator
2024-02,LOC003,P026,11,0.55,Overproduction,Operations Supervisor
2024-02,LOC003,P027,9,0.27,Damaged Handling,Shift Manager
2024-02,LOC003,P028,9,0.81,Damaged Handling,Inventory Coordinator
2024-02,LOC004,P001,17,84.66,Overproduction,Operations Supervisor
2024-02,LOC004,P002,16,114.24,Overproduction,Operations Supervisor
2024-02,LOC004,P003,15,110.25,Spoilage,Inventory Coordinator
2024-02,LOC004,P004,16,69.6,Expired Inventory,Shift Manager
2024-02,LOC004,P005,12,37.56,Spoilage,Shift Manager
2024-02,LOC004,P006,20,42.8,Spoilage,Inventory Coordinator
2024-02,LOC004,P007,17,31.11,Prep Loss,Kitchen Lead
2024-02,LOC004,P008,14,41.44,Overproduction,Kitchen Lead
2024-02,LOC004,P009,14,31.36,Spoilage,Shift Manager
2024-02,LOC004,P010,14,27.86,Spoilage,Shift Manager
2024-02,LOC004,P011,20,13.2,Damaged Handling,Shift Manager
2024-02,LOC004,P012,15,12.9,Expired Inventory,Operations Supervisor
2024-02,LOC004,P013,16,15.36,Spoilage,Inventory Coordinator
2024-02,LOC004,P014,22,12.1,Overproduction,Operations Supervisor
2024-02,LOC004,P015,13,21.19,Spoilage,Inventory Coordinator
2024-02,LOC004,P016,24,31.44,Expired Inventory,Inventory Coordinator
2024-02,LOC004,P017,20,22.2,Expired Inventory,Kitchen Lead
2024-02,LOC004,P018,19,23.94,Prep Loss,Shift Manager
2024-02,LOC004,P019,15,27.9,Spoilage,Kitchen Lead
2024-02,LOC004,P020,22,13.2,Expired Inventory,Shift Manager
2024-02,LOC004,P021,6,6.96,Prep Loss,Kitchen Lead
2024-02,LOC004,P022,5,8.3,Expired Inventory,Operations Supervisor
2024-02,LOC004,P023,4,5.68,Spoilage,Operations Supervisor
2024-02,LOC004,P024,6,5.76,Overproduction,Shift Manager
2024-02,LOC004,P025,12,2.16,Overproduction,Kitchen Lead
2024-02,LOC004,P026,13,0.65,Spoilage,Operations Supervisor
2024-02,LOC004,P027,10,0.3,Overproduction,Shift Manager
2024-02,LOC004,P028,10,0.9,Spoilage,Inventory Coordinator
2024-02,LOC005,P001,17,84.66,Expired Inventory,Inventory Coordinator
2024-02,LOC005,P002,13,92.82,Overproduction,Operations Supervisor
2024-02,LOC005,P003,12,88.2,Overproduction,Operations Supervisor
2024-02,LOC005,P004,15,65.25,Expired Inventory,Kitchen Lead
2024-02,LOC005,P005,13,40.69,Damaged Handling,Inventory Coordinator
2024-02,LOC005,P006,15,32.1,Expired Inventory,Operations Supervisor
2024-02,LOC005,P007,15,27.45,Expired Inventory,Inventory Coordinator
2024-02,LOC005,P008,11,32.56,Overproduction,Inventory Coordinator
2024-02,LOC005,P009,14,31.36,Damaged Handling,Shift Manager
2024-02,LOC005,P010,11,21.89,Overproduction,Inventory Coordinator
2024-02,LOC005,P011,16,10.56,Spoilage,Inventory Coordinator
2024-02,LOC005,P012,13,11.18,Spoilage,Operations Supervisor
2024-02,LOC005,P013,17,16.32,Expired Inventory,Kitchen Lead
2024-02,LOC005,P014,17,9.35,Spoilage,Shift Manager
2024-02,LOC005,P015,12,19.56,Overproduction,Inventory Coordinator
2024-02,LOC005,P016,21,27.51,Spoilage,Operations Supervisor
2024-02,LOC005,P017,17,18.87,Prep Loss,Kitchen Lead
2024-02,LOC005,P018,14,17.64,Overproduction,Inventory Coordinator
2024-02,LOC005,P019,14,26.04,Prep Loss,Inventory Coordinator
2024-02,LOC005,P020,18,10.8,Spoilage,Operations Supervisor
2024-02,LOC005,P021,5,5.8,Expired Inventory,Shift Manager
2024-02,LOC005,P022,4,6.64,Prep Loss,Operations Supervisor
2024-02,LOC005,P023,4,5.68,Overproduction,Operations Supervisor
2024-02,LOC005,P024,5,4.8,Overproduction,Shift Manager
2024-02,LOC005,P025,11,1.98,Prep Loss,Operations Supervisor
2024-02,LOC005,P026,11,0.55,Spoilage,Shift Manager
2024-02,LOC005,P027,10,0.3,Prep Loss,Kitchen Lead
2024-02,LOC005,P028,9,0.81,Spoilage,Inventory Coordinator
2024-02,LOC006,P001,19,94.62,Overproduction,Operations Supervisor
2024-02,LOC006,P002,15,107.1,Spoilage,Operations Supervisor
2024-02,LOC006,P003,14,102.9,Expired Inventory,Kitchen Lead
2024-02,LOC006,P004,15,65.25,Overproduction,Kitchen Lead
2024-02,LOC006,P005,12,37.56,Spoilage,Kitchen Lead
2024-02,LOC006,P006,18,38.52,Prep Loss,Shift Manager
2024-02,LOC006,P007,18,32.94,Damaged Handling,Inventory Coordinator
2024-02,LOC006,P008,13,38.48,Expired Inventory,Shift Manager
2024-02,LOC006,P009,14,31.36,Spoilage,Kitchen Lead
2024-02,LOC006,P010,12,23.88,Expired Inventory,Operations Supervisor
2024-02,LOC006,P011,20,13.2,Spoilage,Shift Manager
2024-02,LOC006,P012,16,13.76,Spoilage,Kitchen Lead
2024-02,LOC006,P013,20,19.2,Prep Loss,Operations Supervisor
2024-02,LOC006,P014,20,11.0,Overproduction,Operations Supervisor
2024-02,LOC006,P015,15,24.45,Damaged Handling,Kitchen Lead
2024-02,LOC006,P016,22,28.82,Spoilage,Operations Supervisor
2024-02,LOC006,P017,19,21.09,Spoilage,Operations Supervisor
2024-02,LOC006,P018,16,20.16,Spoilage,Operations Supervisor
2024-02,LOC006,P019,17,31.62,Spoilage,Operations Supervisor
2024-02,LOC006,P020,21,12.6,Damaged Handling,Inventory Coordinator
2024-02,LOC006,P021,5,5.8,Prep Loss,Operations Supervisor
2024-02,LOC006,P022,5,8.3,Overproduction,Operations Supervisor
2024-02,LOC006,P023,4,5.68,Prep Loss,Kitchen Lead
2024-02,LOC006,P024,6,5.76,Damaged Handling,Operations Supervisor
2024-02,LOC006,P025,13,2.34,Spoilage,Operations Supervisor
2024-02,LOC006,P026,12,0.6,Spoilage,Shift Manager
2024-02,LOC006,P027,11,0.33,Spoilage,Kitchen Lead
2024-02,LOC006,P028,11,0.99,Spoilage,Operations Supervisor
2024-02,LOC007,P001,19,94.62,Spoilage,Shift Manager
2024-02,LOC007,P002,14,99.96,Overproduction,Operations Supervisor
2024-02,LOC007,P003,15,110.25,Spoilage,Inventory Coordinator
2024-02,LOC007,P004,15,65.25,Damaged Handling,Operations Supervisor
2024-02,LOC007,P005,11,34.43,Spoilage,Inventory Coordinator
2024-02,LOC007,P006,16,34.24,Spoilage,Kitchen Lead
2024-02,LOC007,P007,15,27.45,Prep Loss,Operations Supervisor
2024-02,LOC007,P008,14,41.44,Damaged Handling,Kitchen Lead
2024-02,LOC007,P009,16,35.84,Expired Inventory,Kitchen Lead
2024-02,LOC007,P010,13,25.87,Expired Inventory,Inventory Coordinator
2024-02,LOC007,P011,19,12.54,Damaged Handling,Kitchen Lead
2024-02,LOC007,P012,16,13.76,Spoilage,Shift Manager
2024-02,LOC007,P013,18,17.28,Overproduction,Shift Manager
